"운동명","운동설명","MET계수"
"백 스쿼트","백 스쿼트",6
"고전무용","고전무용",6
"수중 걷기","수중 걷기",3.5
"덤벨 숄더프레스","덤벨 숄더프레스",5.5
"철봉매달리기","철봉매달리기",3.8
"트라이셉스 익스텐션","트라이셉스 익스텐션",5
"펙덱 플라이","펙덱 플라이",5.5
"벤치 프레스","벤치 프레스",5
"짐볼운동","짐볼운동",3.8
"108배","108배",2
"덤벨 플라이","덤벨 플라이",5.5
"버피테스트","버피테스트",7
"주짓수_훈련, 연습","주짓수_훈련, 연습",5.3
"패들보드","패들보드",6
"국궁","국궁",4.3
"일립티컬","일립티컬",6
"딥스","딥스",5.5
"악력기 운동","악력기 운동",1.3
"탁구시합","탁구시합",5
"EMS트레이닝","EMS트레이닝",7
"인라인스케이트","인라인스케이트",5
"사이드 플랭크","사이드 플랭크",3.8
"고블릿 스쿼트","고블릿 스쿼트",5.5
"로드바이크","로드바이크",8.5
"플로터킥","플로터킥",5
"벽 스쿼트","벽 스쿼트",5
"TRX 운동","TRX 운동",7
"월볼샷","월볼샷",6
"시티드 니업","시티드 니업",5
"데드 리프트","데드 리프트",5.5
"고양이자세","고양이자세",3.5
"노르딕워킹","노르딕워킹",6
"난타","난타",3.8
"프론트 레이즈","프론트 레이즈",5
"사이드 레터럴 레이즈","사이드 레터럴 레이즈",5
"필라테스","필라테스",3
"양팔벌려 제자리 뛰기(PT체조)","양팔벌려 제자리 뛰기(PT체조)",3
"정구 단식경기(일반적인)","정구 단식경기(일반적인)",7
"정구 복식경기","정구 복식경기",5
"(SUP)서핑","(SUP)서핑",6
"딥다라인 댄스","딥다라인 댄스",3
"로우","로우",5
"풀업(턱걸이)","풀업(턱걸이)",5
"레그 킥 백","레그 킥 백",5
"스플릿 스쿼트","스플릿 스쿼트",5
"스텝퍼","스텝퍼",5
